"","Symbol","logFC","FDR"
"1","Apod",-0.593978462132807,0.00421008271124078
"2","Lrp2bp",1.0996738955208,0.00665574434781125
"3","Pik3c2b",0.714228544211938,0.00122899797461541
"4","Cpxm2",-1.09806814054253,1.91493849292421e-06
"5","Map3k6",-0.986790948591337,0.00647925964434273
"6","Cyp26b1",-1.23059773101714,0.000281078780278918
"7","Pim3",-0.783107253148973,0.0013429449789966
"8","Dusp18",-0.736991866501885,0.00794190476815828
"9","Rasgrp3",1.00651723585468,5.28998623142659e-11
"10","Gm5105",0.920744197320835,0.000541221883957997
"11","Ephx2",-0.752787724714922,0.000265747580016828
"12","H19",-1.4287738873077,3.86528240742631e-05
"13","Ttyh2",1.01104540788051,2.57937026437085e-07
"14","Alg2",0.629112856230477,0.00729256356841486
"15","Sat1",-0.834439153713338,0.00112809118047804
"16","Klf9",-0.752065755153713,2.31686918792317e-12
"17","Xirp1",-0.65406140785241,4.46716111157647e-05
"18","Fabp3",-1.04677155871339,0.00516367097079648
"19","Serpinf1",-0.677985791655953,0.00103497682837112
"20","Taf7",-0.69897360831482,3.30085302369579e-05
"21","Fibin",-1.41499042519073,5.61324615798197e-09
"22","Amotl2",-0.618628510703038,0.00660054599833312
"23","Cyren",-2.15421298840655,2.3478865571223e-38
"24","Ampd3",-1.17599642847977,7.22878232649696e-07
"25","Myo1e",-0.782132670622324,3.21999546551165e-07
"26","Lpl",-0.877886789438902,0.00790585422489743
"27","Cadm1",1.05694243867367,8.59811482211032e-08
"28","Pim1",-1.40420382467639,4.94798009495277e-07
"29","Ky",2.04792054910909,4.69165802591946e-07
"30","Irf2bpl",-0.799460213403285,0.00014506267750645
"31","Arrdc3",-2.14499822074977,2.26136090511765e-12
"32","Mat2a",0.931732599420185,3.85821190769974e-12
"33","Junb",-0.866872743589882,0.000804094679155682
"34","Mir675",-1.50483923060536,0.000970820767643835
"35","Pthlh",2.05820893795988,3.49055115899744e-06
"36","Rbm20",-0.740105243393476,2.24623427750762e-06
"37","Ppp1r15a",-1.05107587863192,8.99833000595855e-09
"38","Pkdcc",0.821574507288929,7.88670008951106e-09
"39","Ctsl",-0.732702950438969,1.61016937079298e-08
"40","1110002E22Rik",0.659959473356644,0.000277817938857363
"41","Ankrd23",-0.740270860938346,4.50573134758177e-10
"42","Plekhg1",-0.612499588316773,0.00545856017728815
"43","Thbs4",-1.28428653623342,0.00501723231967222
"44","Zfp286",1.46085318316747,0.00713907895203625
"45","Dgat2",-1.39893990272102,0.00069179065525499
"46","Zfyve1",-0.811870982692037,2.31686918792317e-12
"47","Neto2",0.759624193502463,3.33230985327935e-06
"48","Rassf4",-1.12058436508158,0.000787106180003712
"49","Snora74a",-1.18303547446294,0.000715649476038072
"50","Slc4a4",0.670406285787365,2.90216255586936e-05
"51","Slc43a2",-0.672703047480416,0.00120737374653685
"52","St3gal5",-0.72295493974621,0.00216102992309077
"53","Hr",-0.661084479708375,0.000518348854559031
"54","Tacc2",-0.920357757706102,2.03566238439434e-12
"55","Per2",0.84778600111801,0.00541690405711963
"56","Fbxo32",-1.17079011552726,4.64114479801848e-11
"57","Plcl1",1.52033576207498,1.24250539549744e-13
"58","Foxo1",-1.22028346507214,4.23239718108236e-07
"59","Ccdc50",0.664852324244179,5.98694481168968e-06
"60","Mpp3",-0.757695019205434,1.57577324048069e-06
"61","Map2k3",-0.632556768948746,2.77507521169121e-06
"62","Acot1",-1.88905034834843,1.7087241291201e-11
"63","Zfp422",-0.604650467012279,0.00468400364358541
"64","Snhg1",-1.51069643351837,1.17617364686625e-05
"65","Angptl4",-1.95181683255898,7.31368225101356e-13
"66","Fndc5",-0.738342636653122,0.000518348854559031
"67","Actc1",-2.57236167323073,0.000565737970552452
"68","Gbp10",-1.73318254474815,0.000513361608361023
"69","Trim63",-2.33063657370976,1.19056880108542e-08
"70","Ciart",2.33674639575421,3.30191619196883e-06
"71","Kdm2b",0.704742674120715,0.00113401219860722
"72","Midn",-0.666587310651706,1.50066134896491e-05
"73","Ulk1",-0.62917331973948,3.59686332845233e-05
"74","Cth",-1.60809236379009,0.000409549611276514
"75","Pdp2",-1.31527063243188,3.01388659957441e-07
"76","Fmo2",-0.757616368115169,0.0010428193045729
"77","Bach1",-0.746653139045081,5.88258854713658e-12
"78","Tcp11l2",-1.06311598194616,2.46907276717816e-09
"79","Tnc",-1.17097086233824,0.000391263249164122
"80","Pnpla2",-0.942645106884644,1.95894183631235e-07
"81","Dbp",2.12299209174511,1.0833793624968e-05
"82","Depp1",-3.57332186782782,7.22145719738202e-09
"83","Hmgb2",-0.773904080194172,0.00678007738806817
"84","Arl4d",-1.09969353433297,0.00238068698625014
"85","Tnfaip2",1.04553525513456,1.9983184248112e-08
"86","Zfp36",-0.970210543688965,0.00392361035551538
"87","Rarb",1.28916749103222,2.00265205579919e-11
"88","Usp3",-0.717021957675465,7.42263356998061e-05
"89","Itgb6",0.700955374144207,0.000476991548876735
"90","Ehhadh",-1.43294927914944,4.24876445354158e-08
"91","Nmt2",0.650439981212463,0.00105995500196613
"92","Rnf150",0.839683179014205,2.22282316351423e-08
"93","Gck",-1.34347981174897,1.93013610629706e-05
"94","Prelp",-0.598450660324169,0.00111937349776305
"95","Thnsl1",0.6540930564377,0.00954684763298212
"96","Sparc",-0.673302139154812,7.1462792006775e-08
"97","Mmp2",-0.661560967437791,0.00069179065525499
"98","Relt",0.906748581206304,8.36704895665967e-05
"99","Sik1",-1.14125713195494,0.000140958430059562
"100","Cat",-0.638752724984496,1.30936282573577e-05
"101","Htra1",-0.899249000978738,0.000673064772168004
"102","Fxyd6",-0.725631493873765,0.00348234346335367
"103","Rnf125",-0.854652198397285,0.0042223799352825
"104","Rubcn",0.59218855624344,1.57577324048069e-06
"105","Ip6k3",-0.751197921222314,0.00759053185253557
"106","Clip1",-0.95917840294702,5.37327370125985e-09
"107","Agfg2",-0.957628773603247,0.00976302439189204
"108","Ldlrad3",-0.81891049335172,0.00803818278292475
"109","Enox2",-0.653804770060176,0.00814139318336454
"110","Hnrnpl",-0.687027759662541,1.10684742091331e-06
"111","Mettl21e",-2.27950114433506,1.89262359063546e-09
"112","Cd55os",1.33295765621485,0.00206461745552831
"113","Ccn1",-0.973500651236604,1.29388377575833e-05
"114","Slc4a10",1.8836523097306,0.00560477008810479
"115","Tbc1d24",0.882364646604525,0.000135689244668311
"116","6430571L13Rik",1.39140884769598,4.7408258881453e-09
"117","Il6ra",-1.17279302164434,1.20624538390251e-07
"118","Cblb",-0.744151949620871,1.70308949644094e-06
"119","Gucd1",-0.748217656735473,6.96138872658146e-09
"120","Hmox1",-1.23710765031711,8.25376307081117e-05
"121","Pank1",-1.16583260279639,0.00408818290633299
"122","Cebpb",-0.915211453151601,2.85397327101074e-07
"123","Ar",0.718240159455158,1.79312231406864e-05
"124","Thbs1",-1.73935484441035,0.000451910574077831
"125","Tsc22d3",-0.827208621806563,7.22878232649696e-07
"126","Olfm1",-1.04888750832156,0.000856869756517396
"127","Glul",-1.40432444626824,0.00560477008810479
"128","Mthfr",-0.838401510881354,0.00115966574147105
"129","Klf10",-1.12503242931917,5.88258854713658e-12
"130","Tob1",0.921382353806096,2.66778199265835e-10
"131","Mir8114",-1.64152098394952,0.000856869756517396
"132","Sesn1",-1.68245163623117,1.15735228459236e-18
"133","D230025D16Rik",-0.917688386947259,7.70840949617837e-05
"134","Nfil3",-1.99568098125933,7.01787927728596e-07
"135","Sbk1",0.664225869235875,0.00251747014607423
"136","Spock2",-1.05714299885548,0.00116382916238679
"137","Atp13a5",1.23111253294542,8.25376307081117e-05
"138","Traf2",0.721884890575189,0.00272097378264936
"139","Hbegf",-0.819442608727619,0.00240520481389929
"140","Homer2",-0.824280192754231,0.00811854032216078
"141","Cers1",1.00967770688702,1.01405389240151e-06
"142","Col1a1",-1.82555417773017,1.66925236502256e-17
"143","Sobp",0.65102244366044,0.00219081651470362
"144","Sap30",-1.12555140219542,0.00183111132306242
"145","Clpx",-0.596923445774799,8.66263400337849e-06
"146","Arid5a",-0.869412136579985,0.000754377573965502
"147","Rhbdf2",-0.666083503170281,0.000165973942090543
"148","Nras",0.76120148038577,0.000476991548876735
"149","Nhs",1.26353167075496,0.00013572136270221
"150","Fam78a",1.12917328909582,2.35000370604145e-06
"151","Ptx3",1.06104442061518,0.0019944843940478
"152","Calm2",1.05602736968099,2.36565203502065e-11
"153","Cd82",0.715404778920942,0.00364376691955174
"154","Nr1d2",0.731692166654652,1.743324148702e-10
"155","Thap2",0.830592494007551,0.0016047800138878
"156","Ypel2",-0.603990931958121,0.00397540403828922
"157","Tmem140",-2.17198228651131,6.51163935422386e-37
"158","Setbp1",-0.587516576452416,0.00453983300335399
"159","Mapk1ip1",-0.692595053819636,0.00018234623882199
"160","Fgfbp1",-1.35279727976053,0.00352491164678105
"161","Plekhh1",-1.48754531532644,0.000968124134393405
"162","Mir1a-1hg",0.89667545471481,0.00654750544845664
"163","Ccn3",-0.92440427903983,0.00165191445373204
"164","Arhgap26",-1.63239806582965,3.20711245975269e-07
"165","Slc43a1",-1.50583201262496,1.7087241291201e-11
"166","Col8a1",-1.1173833441673,0.00135338692371909
"167","Osgin1",-0.99798340228469,0.00175931235277649
"168","Fos",-1.23217262401115,0.00105995500196613
"169","Sphk2",0.770805205973771,4.00584694552352e-05
"170","Pla2g4e",-0.6052545493682,0.00779837584060323
"171","Lrrc38",0.93162499793902,0.0023506784289474
"172","Pdlim5",-0.709843010023841,2.01009374972114e-09
"173","BC048679",-1.71055832683363,0.00148183485213499
"174","3300002P13Rik",0.930789956530905,0.00172108960993176
"175","Gpt",-0.819246321993603,0.00320579231443461
"176","Fktn",0.61815372150895,0.0003102175556182
"177","Arrb1",0.591471707139477,0.000418796534123768
"178","Per3",1.20701990259006,5.68900046495438e-08
"179","Rrs1",-0.778100072327248,3.83843684053683e-05
"180","Lox",-1.31139267159208,3.59930928390903e-10
"181","Mgp",-0.95965021275434,1.19406423480671e-05
"182","Snhg12",-1.13879785946668,0.00128296661032842
"183","Tdrp",0.78101633121352,7.37990925227902e-05
"184","Gadd45a",-1.03503798895332,2.36012054344889e-05
"185","Pdp1",0.881363609032483,2.50846029271406e-18
"186","Wbp1l",-0.736761797646702,2.35000370604145e-06
"187","Nmrk2",1.04945011339651,4.62345915621852e-06
"188","Twf2",-0.804635791214616,0.000500038043118527
"189","Zbtb2",-0.818638604887256,3.05179594303274e-05
"190","Klhl38",-1.71049556763485,1.44321214731551e-20
"191","Klf15",-0.806728987873843,1.43176963479111e-05
"192","Retreg1",-1.02996198181712,4.01834837814934e-10
"193","Irf2bp2",-0.881893035318383,2.36565203502065e-11
"194","Klhl33",-0.728586528696007,9.91347286407259e-06
"195","Btg2",-1.42224037964868,1.23384123179818e-06
"196","Gabarapl1",-1.15589055077534,2.36565203502065e-11
"197","Mocs1",-0.688149007311929,0.00465767078178703
"198","Maff",-1.55555183330978,1.14832511497526e-05
"199","Arntl",-1.24044037255878,1.15636683347486e-07
"200","Hs3st5",0.717491477894063,0.00491345408748435
"201","Tango2",-0.62626029876955,0.000673064772168004
"202","Net1",-0.736494933134939,0.0016092665094197
"203","Ppargc1b",0.766149537916798,0.000104872289671933
"204","Mafk",-0.798577003632834,4.55752733942889e-05
"205","Ppara",-0.751173581467121,0.00491345408748435
"206","Mfap4",-1.49865056610077,0.000137421000530557
"207","Tppp3",0.611577584980297,0.00684877508079928
"208","Ddi2",-0.756840329865077,1.19056880108542e-08
"209","Ubc",-1.2223191957384,0.000699072387795494
"210","Slc33a1",0.733769394723968,0.00238068698625014
"211","Ankrd9",-0.687331126307254,0.0013669277404418
"212","Prickle3",-0.603157182489792,0.00690743858804389
"213","Ucp3",-1.14405675687471,4.01834837814934e-10
