"","Symbol","logFC","FDR"
"1","Picalm",-0.741738668411486,6.15655896806435e-05
"2","Lrp2bp",1.32711057862759,0.000180448600751147
"3","Flnb",0.802648357906177,1.12710597017695e-13
"4","Rbm48",-0.703889833125766,0.00106853460077257
"5","Pik3c2b",0.656723116016556,0.00210372190896123
"6","Eda2r",-0.697287118752159,6.98490104829508e-06
"7","Map3k6",-1.63007734206245,1.27792183136643e-07
"8","Agmo",-0.852939787817873,0.00886425836110216
"9","Bmf",-0.993333693169993,0.00106853460077257
"10","Aldh1a2",1.33216872074496,9.75970428983413e-06
"11","Zfyve21",-0.923506128235008,0.000970509658444371
"12","Pim3",-1.02576916964108,2.56534399143062e-06
"13","Fnbp1",0.754965638497297,0.00271011146321852
"14","Rasgrp3",0.766158850283094,9.97459590993209e-07
"15","Taf15",0.881446988365903,0.00138367728854449
"16","Gm5105",0.893019857483791,0.000406432685392941
"17","H2-Q7",1.04979431358306,0.00487929365711336
"18","Tm4sf1",0.591998475516322,0.00278597667874332
"19","Fkbpl",-0.771286962958643,0.00662369598026634
"20","Cadm3",0.80010116510825,0.00177429662327322
"21","Lrrc30",-1.60085588877668,0.00230767535179149
"22","B3galt1",0.866724891155434,0.00497365605026068
"23","Alpk1",1.62931625974077,0.00724875187144002
"24","Klf9",-1.08753832075552,5.40276251811675e-27
"25","Scd2",0.828741651237393,5.75189740436593e-06
"26","Rora",-0.635934486095483,0.000182322988284419
"27","Fhl3",-1.02579215353143,2.76894634518956e-16
"28","Taf7",-0.84038607591613,6.57220832977824e-08
"29","Lpin1",-0.947952920535176,1.34467967950439e-16
"30","Fibin",-1.92466018429333,5.28489487240635e-17
"31","Arhgef10",0.689372246016082,9.4318257015176e-05
"32","Cyren",-2.30904991000237,1.54509837975608e-44
"33","Ampd3",-0.689535806190953,0.00651968851479521
"34","Kif1a",1.47231391515458,0.000209563132495896
"35","Sh3rf2",0.604263597956847,0.00572528480404529
"36","Myo1e",-0.865927644383627,2.41242960053169e-09
"37","Prodh",-0.899165894266746,0.00118907251225355
"38","Plac9a",0.679834943221472,0.00820617926411679
"39","Pitpnc1",0.668664973365873,0.000286551322933777
"40","Hnrnpul2",0.581369299388263,0.000438975482330963
"41","H1f2",-1.05499612832128,3.74459846872439e-15
"42","Wnt5a",0.849929086299059,0.00768285367750125
"43","Doc2b",-2.27541708490451,0.000319680284738586
"44","Jam2",0.701958028921509,9.52833835146423e-07
"45","Cadm1",0.741545725186943,0.000342515083005263
"46","Pim1",-1.15438408090119,3.1011998496704e-05
"47","Akap5",1.47921261813405,0.0029420523428829
"48","Ky",2.07772767323808,1.33859504874696e-07
"49","Taf8",-0.715084067112633,0.000404002469025839
"50","Slc30a2",-0.694594142929143,0.003183254705979
"51","Irf2bpl",-0.87517102521291,8.64891861596781e-06
"52","Arrdc3",-2.52747581150036,5.0878314899202e-18
"53","Oasl2",1.56400416356127,0.00377225156808526
"54","Mcf2l",-0.702770410357063,0.000707679279257113
"55","Pde7a",-0.639236817867115,9.31420356356556e-09
"56","Arhgef15",0.992365233895796,3.23002459261449e-05
"57","Zfas1",-0.987682068696791,0.000119315654443764
"58","Pthlh",1.99988845495924,3.13885584342373e-06
"59","Kank4",1.0628713275053,0.00802791884656447
"60","Tmem37",-0.75087220649212,9.32911283291291e-06
"61","Rbm20",-0.751945040378831,6.01112512422026e-07
"62","Ylpm1",0.591614802822485,0.000300785364250988
"63","Nfkbil1",-0.763280477843588,0.00978261504051538
"64","Ppp1r15a",-1.3682767666769,2.0432614394927e-15
"65","Ctsl",-0.656837230862954,2.93661745323703e-07
"66","Tmem25",0.911303149085065,0.0062683749258869
"67","Ptpn14",0.645331623437073,0.00133027104453989
"68","1110002E22Rik",0.852345785069391,2.08487679656658e-07
"69","Otud1",0.871575724670651,0.00497176227923018
"70","Lonrf3",-1.21820636131566,1.42124241537935e-05
"71","Pik3cd",0.934936766622626,0.00197057458485176
"72","Adrm1",-0.651692622647558,1.49068802040292e-05
"73","Ube4a",-0.769903130160115,5.75189740436593e-06
"74","Atp6v1h",-0.855373046180631,9.87331325576807e-08
"75","Zfyve1",-0.989977538818668,2.5425515891639e-19
"76","Tle4",-0.637965024062271,5.74359248298213e-06
"77","Cacna1i",-2.66347873643591,6.50635137170288e-07
"78","Serpinh1",0.656102925739948,0.00346160821789458
"79","Bcl6b",1.48194196326057,5.63147383238906e-05
"80","Slfn3",1.81385935213728,0.00497365605026068
"81","Tagln",0.606088850678945,0.00774175734821508
"82","Sra1",-0.580775039664249,0.000151577992325205
"83","Scn2a",1.28248714800609,0.00849560254639731
"84","Tpm4",0.62423220948802,4.3375303585737e-05
"85","Rassf4",-0.870624759700981,0.00884004143837288
"86","Sncg",1.33362160055541,0.0002970736283016
"87","Ankrd26",0.811306503253995,0.00220838809331214
"88","Sacs",0.730197442160814,2.02356880334338e-08
"89","Chac1",-1.80559210675923,0.00686332752416366
"90","Mt1",-1.7618050570272,0.000349505114091739
"91","Hr",-1.08022277875774,8.20476193552962e-11
"92","Tacc2",-1.01264522066129,7.33316041864905e-16
"93","Fbxo32",-1.60744865188653,1.36451546478419e-21
"94","Gfpt2",0.725654376880943,0.00106853460077257
"95","Podxl",1.1312840401349,1.23332322296417e-13
"96","Plcl1",1.0702182753438,3.68703240367045e-07
"97","Gpm6a",1.09330264518417,0.00271457759783054
"98","Emilin2",0.829770167261244,7.73713648690453e-05
"99","Foxo1",-1.61738837648586,6.8380145127804e-13
"100","Anapc16",-0.795777106488332,4.77165426156893e-08
"101","Zfand5",-1.07685981451226,3.7297750703197e-27
"102","Ccdc50",0.581590324731054,6.60412260822499e-05
"103","Cd274",1.17920230660995,0.00799968019945415
"104","Gm4841",0.966817223123962,0.00706599804164848
"105","Efr3b",1.14140225305141,2.70757435215459e-07
"106","Map2k3",-0.868721857821422,2.73377646401861e-12
"107","Acot1",-1.52902606575445,3.37680572640839e-08
"108","Chkb",-0.738714042819944,0.003183254705979
"109","Slc40a1",-0.81456508211088,9.31014611750015e-08
"110","Zfp422",-0.635111496600158,0.00112067120281546
"111","Itfg2",-0.899494817447695,0.000176119157709789
"112","Gbp9",0.840673135601116,1.2664111268643e-05
"113","Snhg1",-1.58357913666352,9.08372679159946e-07
"114","Ythdf2",-0.594786910730259,1.54310201750833e-06
"115","Angptl4",-2.32419931087354,4.74939105532047e-19
"116","5031434C07Rik",2.29408959394012,0.000711106430100417
"117","Zc3h10",-0.663671224378352,0.00517379686018983
"118","Iigp1",1.28583626073441,0.000108912574029756
"119","Foxp2",0.899894229397161,0.00776813005643764
"120","Actc1",-2.34908060907345,0.00120459419776507
"121","Gbp10",-1.8198370153397,0.000102802165492694
"122","Cirbp",-0.680320352667526,5.86205713490094e-05
"123","Rbfox2",0.655031519185597,6.19534322371864e-09
"124","Trim63",-2.94284086687419,2.59574347516518e-14
"125","Ciart",1.72764278771152,0.000998063587157598
"126","Kdm2b",0.640529769087544,0.00221285987066439
"127","Tmem184b",0.740969718804967,0.000901364384541821
"128","Ulk1",-0.748777012140836,1.1694882758019e-07
"129","Sema6d",0.794293000253399,1.53551465812105e-06
"130","Cth",-1.39365987422915,0.00111387887008505
"131","Cpa3",1.39629644254451,0.000393830107150674
"132","Polr1b",-0.783181267725655,1.03063476207173e-06
"133","Pdp2",-1.43025823100606,6.14790321388043e-09
"134","Rgcc",-1.08851646122652,2.56585680832467e-09
"135","Slc2a3",-0.691606036322203,0.00812034430609779
"136","Fmo2",-0.917730833123715,1.18580767204168e-05
"137","Sun2",-0.729128195012161,1.01274294193697e-09
"138","Pirb",1.17609292699093,0.00614375365370379
"139","Bach1",-1.04829547508565,1.69927333826239e-24
"140","Tcp11l2",-1.53945811440892,3.76150495136939e-20
"141","Pnpla2",-0.755398106833489,3.73198716843484e-05
"142","Acvr1",0.734619752466859,0.00928118825810855
"143","Cdkn1a",-1.67810883798915,0.00346160821789458
"144","Dbp",2.04219219684628,1.3035692891157e-05
"145","Flna",0.807120489120258,2.63251458030842e-06
"146","Txnip",-0.63878307324341,7.67729760706323e-14
"147","Heatr5a",0.672603228342609,3.39766854563216e-07
"148","Fam114a1",0.74595706798997,0.00304167127930899
"149","Depp1",-4.73690535113937,5.58194309609375e-16
"150","Nfe2l2",-0.598765607694686,1.047350723106e-05
"151","Faap100",-0.649043110776644,0.00183765382256698
"152","Hmgb2",-1.04363111413201,2.77843946475851e-05
"153","Coq10b",1.44313103925179,0.00811082083937361
"154","Tnfaip2",1.34603588594092,9.03620637817763e-15
"155","Prkca",-0.596210275762094,0.00735274885839532
"156","Lsmem1",0.585053117862345,0.00338031310524435
"157","Tysnd1",-0.599847400143443,0.0040699444362419
"158","Tgtp1",1.74096901419115,0.000387397556701979
"159","Calhm5",-1.27763981404804,0.00328639847891454
"160","Zfp36",-1.2541958538519,2.51396305003666e-05
"161","Ddx20",-0.628000338974492,0.00139362122659834
"162","Rarb",1.45637828695779,9.46049572687769e-16
"163","Sec24a",-0.612194821931403,0.00412982839447161
"164","Zfp46",0.757737866980992,6.57220832977824e-08
"165","Ston2",0.668027023718019,1.54449584374536e-07
"166","Usp3",-0.819773054935358,9.97459590993209e-07
"167","Eif4ebp1",-1.36724077498307,2.18013478150998e-34
"168","Itgb6",1.10255528644625,2.33130984567761e-10
"169","Rpl22l1",-0.742329614246304,0.000775754356218112
"170","Slx4",0.661012185093028,0.00500128073503316
"171","Tceal5",0.808912109724081,0.00213558479435873
"172","Ehhadh",-1.58153109301109,2.49256095118283e-10
"173","Angptl7",-2.44384212364782,0.00500810636171208
"174","Ncbp2",0.596561278508383,0.00700585037138792
"175","Myf6",-0.9893176008873,4.74713763627891e-08
"176","Rnf150",0.678108301851115,8.30785618007708e-06
"177","Gck",-1.39597796128096,2.64368060237507e-06
"178","Kbtbd13",0.695731657194281,0.00131704986711683
"179","Thnsl1",0.66328687364793,0.00429555775263708
"180","Hmga2-ps1",-1.42243353271748,4.2228830182019e-05
"181","Lvrn",-1.10028258239162,1.10192899523511e-06
"182","Relt",1.0747147978647,3.23922973509905e-07
"183","Clec3b",0.872866811606605,0.00543388380870138
"184","Sik1",-1.0788033756591,0.000172776664460622
"185","Smtn",1.00442884774521,5.6838671553108e-12
"186","Mcam",0.600150857909909,5.36376954466163e-05
"187","Rnf125",-1.11366821122632,2.4109391783387e-05
"188","Cxxc5",0.718931119679012,0.00128130167165706
"189","Cry2",-0.741447274503566,8.72735418151973e-06
"190","Ets1",0.658763747485309,2.1746018706222e-07
"191","Aurka",0.908953927329936,0.00466165482972564
"192","Tmem52",-0.795220647957918,0.000998186771647325
"193","Snhg5",-1.09413523477019,5.23947848291152e-09
"194","Cavin1",0.596068857568049,1.5396039205796e-08
"195","6430548M08Rik",-1.53641532157544,0.00419149112342146
"196","Stx4a",0.752031370461192,5.91410202063068e-07
"197","Utrn",0.592919354088787,9.41807771349517e-08
"198","Cd248",0.965887029356809,1.22666580496261e-05
"199","Slc35e4",-0.76527460112809,3.06416608528107e-08
"200","Crhr2",0.80123765094729,0.000970509658444371
"201","Clip1",-1.14668911354054,1.9246571371876e-13
"202","Cmah",1.30123689988214,0.00497176227923018
"203","Agfg2",-0.958987454296292,0.00487929365711336
"204","Zc2hc1c",-1.02949001734372,5.86076053338036e-05
"205","Eci2",-0.598969534342465,7.29475519364827e-06
"206","Enox2",-0.89028694957822,3.13383809210561e-05
"207","Mettl21e",-2.31508520980388,1.38145385839583e-10
"208","Cd55os",1.26474321741846,0.00218838505913077
"209","Ccn1",-1.11537652250007,1.02276616121246e-07
"210","Akap12",0.781057404239541,3.09755949106935e-10
"211","Tbc1d24",0.919325022705996,2.04624376882369e-05
"212","6430571L13Rik",1.60205871529155,1.03354517579294e-12
"213","Synpo2",0.661582412327099,2.47091571975818e-05
"214","Il6ra",-1.24614197099947,3.17641748315844e-09
"215","Zfp710",0.708171054053106,6.06888525625914e-06
"216","Zfp771",-0.818415405823804,0.00021011241192646
"217","Cblb",-1.22129682221628,7.8657181583297e-18
"218","Zfp462",0.710105528533384,0.000102114540543136
"219","Gm18852",1.71424430817866,0.00120175840605742
"220","Ndrg1",0.72860947995834,4.2228830182019e-05
"221","Gucd1",-1.23075836536479,1.14450995063766e-24
"222","Mylip",-0.626641781289647,0.000729817451887811
"223","Chodl",-0.956577660824182,0.000706947933777671
"224","Oser1",-0.641909507054542,1.0355988545898e-05
"225","Hmox1",-1.48164417596137,3.58308868426839e-07
"226","Vegfa",0.775662008472883,4.75267124711313e-06
"227","Rnase4",-0.63617330482883,0.000133080405160363
"228","Lmod3",0.591503112981439,0.00253623089620476
"229","Stab1",0.837894921615942,2.61898016789256e-06
"230","Gm15441",-0.658541576814634,3.67606752021269e-11
"231","Aldh1l1",-0.71320936180709,0.00204228470243914
"232","Cebpb",-1.54428747750802,8.37125745290998e-21
"233","Pik3r1",-0.94689176764436,0.00778150286696779
"234","Zfp143",-0.701866023419308,1.3369996827055e-05
"235","Exph5",-1.37736537899249,1.85853352809599e-08
"236","Thbs1",-1.79058521866831,0.0001339315040861
"237","Tsc22d3",-1.36789445175386,2.53554145705767e-19
"238","Ccnd1",1.26226221268654,1.07896462177132e-05
"239","Glul",-2.50407459553538,2.96646612151545e-09
"240","Tgtp2",1.61269309126074,0.000597526854647704
"241","Riox1",-1.05481047135801,6.60412260822499e-05
"242","Ifrd1",-0.965983408971806,1.54449584374536e-07
"243","Hpgd",-1.0922529504599,0.00387851354332756
"244","Npc1",-0.940055247146121,4.98526265685938e-17
"245","Tmed5",-0.672011079274036,8.71678621005021e-07
"246","Mthfr",-0.702352033719818,0.00509171862826174
"247","Sertad2",-0.732663225105357,3.92880674420702e-07
"248","4930402H24Rik",0.804794061605576,0.00527813750819284
"249","Cd200",1.0236154967504,1.67241140669775e-05
"250","Klf10",-1.36352584318889,2.65144384394463e-18
"251","Tob1",1.04152770029702,8.38595287805435e-14
"252","Ddx56",-0.668822515704318,0.00494779459895078
"253","Srsf5",-0.694672467881789,2.70595526879653e-05
"254","Mir8114",-1.91311818114012,2.40597696311797e-05
"255","Mchr1",1.42151468924341,0.00225171625480948
"256","Trp53inp1",-0.82932601755151,1.40675382369539e-06
"257","Sesn1",-1.8954745151356,1.39821889248406e-24
"258","Kctd2",0.70808363234405,0.00190246006649561
