"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04710","mmu04710","Circadian rhythm","11/240","34/9009",6.35956218597567e-10,1.8569921583049e-07,1.39240940492941e-07,"19883/13170/12953/18626/18030/353187/217166/18628/11865/79362/20893",11
"mmu04510","mmu04510","Focal adhesion","20/240","201/9009",3.61704664289124e-07,5.28088809862121e-05,3.9597142195862e-05,"286940/18707/192176/18750/16420/22339/18708/21825/12443/16403/12842/98932/245026/665033/109711/60595/12444/16542/12843/192897",20
"mmu05205","mmu05205","Proteoglycans in cancer","19/240","205/9009",2.11342076801007e-06,0.000205706288086313,0.000154242638507402,"286940/22418/13039/18707/12575/192176/18750/22339/18708/21825/12443/15200/12842/18792/16542/12843/17869/20971/17532",19
"mmu04151","mmu04151","PI3K-Akt signaling pathway","26/240","359/9009",3.15493043226781e-06,0.00023030992155555,0.000172690928924133,"18707/12575/18750/13685/16420/16194/22339/18708/21825/12443/16403/12842/245026/665033/74747/19651/12444/16542/12125/15370/11911/56484/12843/192897/17869/14697",26
"mmu04218","mmu04218","Cellular senescence","17/240","184/9009",7.7064447588889e-06,0.000450056373919112,0.000337461159968188,"15018/18707/56458/26397/12575/13685/23871/18708/12443/110558/12314/13197/19651/12444/56484/17869/17532",17
"mmu04068","mmu04068","FoxO signaling pathway","13/240","131/9009",4.39181073951608e-05,0.00213734789323116,0.00160262567336727,"18707/67731/56458/12575/18708/12443/13197/12176/57436/19651/12444/12125/56484",13
"mmu04512","mmu04512","ECM-receptor interaction","10/240","88/9009",0.000108838662849197,0.0037196133365057,0.00278903956017731,"16420/21825/16403/12842/245026/665033/11603/12843/192897/20971",10
"mmu04115","mmu04115","p53 signaling pathway","9/240","72/9009",0.000114645616536135,0.0037196133365057,0.00278903956017731,"12575/21825/12443/140742/13197/12444/20724/53892/71361",9
"mmu05223","mmu05223","Non-small cell lung cancer","9/240","72/9009",0.000114645616536135,0.0037196133365057,0.00278903956017731,"18707/12575/18750/218772/18708/12443/19713/13197/56484",9
"mmu04152","mmu04152","AMPK signaling pathway","12/240","127/9009",0.000138862485650237,0.00405478458098693,0.00304035758055256,"20250/18707/56458/22241/13685/18708/12443/270198/14120/57915/56484/16847",12
"mmu01521","mmu01521","EGFR tyrosine kinase inhibitor resistance","9/240","79/9009",0.000235829751042065,0.00618135945142111,0.00463490542860703,"18707/18750/13685/16194/22339/18708/16542/12125/56484",9
"mmu05165","mmu05165","Human papillomavirus infection","22/240","362/9009",0.000254028470606347,0.00618135945142111,0.00463490542860703,"15018/22418/23962/18707/108664/56458/12575/13685/16420/22339/18708/21825/12443/16403/12842/110558/245026/665033/19651/12444/12843/192897",22
"mmu04933","mmu04933","AGE-RAGE signaling pathway in diabetic complications","10/240","101/9009",0.000342448367059775,0.00769191716780418,0.00576755144521727,"18712/18707/56458/18750/22339/18708/12443/12842/12843/50490",10
"mmu04137","mmu04137","Mitophagy - animal","8/240","68/9009",0.000419929882393121,0.00875853754705652,0.00656732447652399,"22241/17684/12176/57436/22190/11911/56484/17532",8
"mmu04960","mmu04960","Aldosterone-regulated sodium reabsorption","6/240","38/9009",0.000453366943418533,0.00882554316521411,0.00661756661270561,"18707/18750/18708/11931/65962/110784",6
"mmu04211","mmu04211","Longevity regulating pathway","9/240","90/9009",0.000627976412251605,0.0109438069613377,0.00820588265305783,"18707/56458/22241/13685/18708/140742/11513/11911/56484",9
"mmu04926","mmu04926","Relaxin signaling pathway","11/240","129/9009",0.00063713944637925,0.0109438069613377,0.00820588265305783,"18707/18750/22339/18708/18035/12842/11513/11475/11911/12843/14697",11
"mmu05219","mmu05219","Bladder cancer","6/240","41/9009",0.000690796049639492,0.0112062470274851,0.00840266539912364,"12575/22339/21825/12443/15200/17869",6
"mmu05222","mmu05222","Small cell lung cancer","9/240","93/9009",0.000798165922168833,0.0114575450695919,0.00859109363545463,"18707/12575/218772/18708/12443/16403/18035/13197/17869",9
"mmu04370","mmu04370","VEGF signaling pathway","7/240","58/9009",0.0008240015289775,0.0114575450695919,0.00859109363545463,"18707/18750/22339/18708/56632/329502/16542",7
"mmu05213","mmu05213","Endometrial cancer","7/240","58/9009",0.0008240015289775,0.0114575450695919,0.00859109363545463,"18707/12575/18708/12443/13197/56484/17869",7
"mmu05163","mmu05163","Human cytomegalovirus infection","16/240","256/9009",0.00132920133187839,0.0176421267685677,0.0132284151689332,"15018/18707/12575/18750/13685/16194/22339/18708/12443/18035/110558/12314/11513/11911/17869/14697",16
"mmu04012","mmu04012","ErbB signaling pathway","8/240","84/9009",0.00171959474388273,0.0218313767484243,0.0163695975619043,"18707/12575/18750/13685/208650/18708/15200/17869",8
"mmu05418","mmu05418","Fluid shear stress and atherosclerosis","11/240","147/9009",0.00186291558044454,0.0226654728954085,0.0169950193303712,"13039/18707/11477/18024/15368/22339/18708/12314/12167/16542/20971",11
"mmu05221","mmu05221","Acute myeloid leukemia","7/240","70/9009",0.00250818020287933,0.0291539193431898,0.0218601846553118,"18712/18707/13685/18708/12443/235320/17869",7
"mmu05167","mmu05167","Kaposi sarcoma-associated herpesvirus infection","14/240","224/9009",0.00263001540523159,0.0291539193431898,0.0218601846553118,"15018/18707/12575/22695/22339/18708/12443/18035/110558/12314/22190/17869/14697/277360",14
"mmu05166","mmu05166","Human T-cell leukemia virus 1 infection","15/240","250/9009",0.00277506353991516,0.0291539193431898,0.0218601846553118,"15018/18707/52717/12575/22695/23871/18708/12443/18035/110558/11513/12444/18186/11911/17869",15
"mmu05216","mmu05216","Thyroid cancer","5/240","37/9009",0.00279558130688122,0.0291539193431898,0.0218601846553118,"12575/12443/19713/13197/17869",5
"mmu05206","mmu05206","MicroRNAs in cancer","17/240","303/9009",0.00299823737415077,0.0301891487328284,0.0226364201024813,"171543/18712/18707/12575/18750/15368/22339/18708/21825/12443/18792/74747/12444/12125/17869/13435/20724",17
"mmu05214","mmu05214","Glioma","7/240","74/9009",0.00344226424161453,0.0327547636712754,0.0245601688667097,"18707/12575/18750/18708/12443/12314/13197",7
"mmu05169","mmu05169","Epstein-Barr virus infection","14/240","231/9009",0.00347738929386827,0.0327547636712754,0.0245601688667097,"15018/18707/56436/26397/12575/18708/12443/18035/110558/13197/12444/12125/21929/17869",14
"mmu04910","mmu04910","Insulin signaling pathway","10/240","139/9009",0.00394210343465913,0.0353817856482734,0.0265299618415316,"18707/56458/13685/103988/208650/18708/12314/53412/14120/228966",10
"mmu05220","mmu05220","Chronic myeloid leukemia","7/240","76/9009",0.00399862646025007,0.0353817856482734,0.0265299618415316,"18707/12575/18708/12443/18035/13197/17869",7
"mmu05215","mmu05215","Prostate cancer","8/240","99/9009",0.00480491106695644,0.0412657068103318,0.0309418421649207,"18707/56458/12575/18708/12443/18035/18792/11911",8
"mmu04010","mmu04010","MAPK signaling pathway","16/240","294/9009",0.00528733408323292,0.0441114729229718,0.0330756538139082,"286940/53608/240168/239556/26397/192176/18750/22339/329502/13197/16542/15370/235584/11911/17869/17532",16
