"","Symbol","logFC","FDR"
"1","Grb14",-0.9578917262799,0.00143051455227923
"2","Cyp26b1",-1.09899907210855,0.00196538454911522
"3","Fnbp1",-0.82461642664202,0.00189414388968006
"4","Safb2",-0.661415524013118,0.00622119763304078
"5","Taf15",-1.41704280016793,3.32510089747874e-07
"6","Csrp1",-0.598346903076368,0.000541264110092225
"7","Scd2",-0.865866212233986,1.00926353835175e-05
"8","Fhl3",0.709091162060851,5.05631307866308e-07
"9","Eln",-0.97088372663074,0.00693229420659797
"10","Arhgef10",-0.597703068622591,0.0022183841825862
"11","Kif1a",-1.19968439806777,0.00681607541852199
"12","H1f2",0.748027598062052,8.2556593238376e-07
"13","Snrpd3",-0.897101638342056,0.00161155560914531
"14","Hk1",-0.735281155738255,0.0013720777543641
"15","Ankrd23",-0.700929101818646,1.60261199083015e-08
"16","Ptms",-0.590155890478012,0.00069693487097691
"17","Adrm1",0.656713473553756,5.37262086952955e-05
"18","Tuba1c",-0.663527236646004,0.00100043268544241
"19","Serpinh1",-0.855087209514124,0.000179563846781379
"20","Nexn",-1.12135167681313,0.000475608925860338
"21","Nes",-0.789891847014211,5.23299809565755e-05
"22","Rtn4ip1",-0.63337452811578,0.000243565938633601
"23","Podxl",-0.754456083041076,1.42349398011397e-05
"24","Ncl",-0.637349560972569,0.000455117260772102
"25","Zfand5",0.609048319225912,6.85151245697171e-08
"26","Evc",-0.774212407727161,0.00838816437592694
"27","Mpp3",-0.598203147825472,0.00052344512343724
"28","Itfg2",0.752440790880692,0.00582247624031349
"29","Hspa1a",-1.15233125241515,0.00301568153376705
"30","Iigp1",-1.01052168573102,0.00700103656151996
"31","Cald1",-0.675048316516146,0.00108644605590796
"32","Rgcc",0.876027908088318,2.18826155290533e-05
"33","Flna",-0.700083256331846,0.000246535970061947
"34","Rcn3",-0.707462025588303,0.00134964179549928
"35","Eif4ebp1",0.883102588194062,6.62687583826865e-13
"36","Rpl22l1",0.678917899303016,0.00520771366646478
"37","Tceal5",-1.55055834552106,3.19581198993609e-09
"38","Mstn",0.667290865278392,4.81680585338277e-05
"39","Fxyd6",-0.812602193351094,0.000825337283010093
"40","Stx4a",-0.657098610052122,8.18461279833225e-05
"41","Cd248",-0.706766133551863,0.00506785378056384
"42","Sulf2",-0.83937523038601,0.00776272501772393
"43","Ppp1r16b",-0.743084655666149,0.00621722332994797
"44","Akap12",-0.756211373461366,1.33202123727211e-08
"45","Synpo2",-0.664287868999158,8.65378171792782e-05
"46","Zfp771",0.672281765591655,0.00776272501772393
"47","Pfdn2",-0.636092516325464,0.000920609042667227
"48","Lmod3",-0.622964950752135,0.00250207690651557
"49","Ncor2",-0.7394521950397,0.00901802638244425
"50","Cebpb",0.629076096507869,0.00275681986043316
"51","Exph5",0.8889883802933,0.00219563584055637
"52","Spns2",0.836411633639538,3.9085768269839e-07
"53","Golim4",-0.640239204306731,0.0019178151464532
"54","Gvin1",-0.816998856928892,0.00322037784226041
"55","Cep85l",0.964619288849288,5.49490792782117e-13
"56","Per1",0.896217055419009,9.55445295368019e-05
"57","Atp13a5",1.03398568708962,0.00152947265602143
"58","Col1a1",-1.01114586185689,4.83322291647328e-05
"59","Myl9",-0.691038411813971,0.00119089585962284
"60","Chd3",-0.608860918617927,0.0085288221320063
"61","Mrpl12",-0.886524647325809,1.04635083384842e-05
"62","Polr3c",-0.606404929509406,0.00640783864441761
"63","Gm6793",-0.670300216147499,0.00052344512343724
"64","Cnn2",-0.75185782034518,0.00460093863240485
"65","Coq7",-0.614114160486579,2.43064351060608e-05
"66","Gpatch4",-0.856034401957547,0.000455117260772102
"67","Col6a1",-0.589238050328908,0.0001797574278051
"68","Anp32b",-1.08668355952378,0.000212613863465648
"69","Itga9",-0.834074673828807,0.00184068011866984
"70","Ripor2",0.685116697577118,0.00953416112890416
"71","Hrc",-0.682501814997759,1.16795378383578e-08
"72","Ociad2",0.586018220899963,0.00191175985932877
"73","Lipo3",0.722274623360373,0.00776272501772393
"74","Sipa1",-0.744536320494043,0.00416822006758636
"75","Eif5b",-0.632432077871398,0.00099217909962258
"76","Col5a3",-0.594837909436032,0.00225518034527762
"77","Hnrnpa2b1",-0.952712503029563,9.00381721377858e-15
"78","Rnf5",-0.775529750912046,0.00969588485222957
"79","Tuba1a",-0.714928354948962,0.00116687442105235
"80","Adcy7",-0.916522099426552,0.00440839060357832
"81","Rabep2",1.03944968343165,3.8185924464482e-06
"82","Ndufa8",-0.651466830119568,2.27217145326147e-08
"83","Xbp1",0.896808522322766,1.88280842971236e-09
"84","Nmrk2",-1.66538882287864,2.70974628208404e-15
"85","Fus",-1.06821187793632,0.000256232599482526
"86","Cbfa2t3",-0.842997993449855,0.000300999397830237
"87","B230307C23Rik",0.852940234959813,4.65662905275512e-06
"88","Dynll2",-0.826387666045636,2.72277314091533e-07
"89","Actn4",-0.66180525314395,0.00012697532628736
"90","Pfkfb4",0.690353652723771,1.07158535965026e-07
"91","Hnrnph3",-0.608074122561059,0.00215414672992007
"92","Prom1",1.02634418601802,0.00213327238321555
"93","Micos10",-0.778620855674683,1.10454104273831e-06
"94","Fbn1",-0.68349082673562,4.91783705670482e-05
"95","Sfrp5",-1.32813835104434,2.92990872955371e-05
"96","Slc16a3",0.586753154552472,0.000207095906553071
"97","Reln",-0.819078098618629,0.00164813626241631
"98","Txn2",-0.776677299369625,1.42349398011397e-05
"99","Slc5a3",-0.652567592852086,0.00492092341863949
"100","Kdr",-0.613204923242856,0.00103521504691611
"101","Pmp22",-0.86482843574622,0.00152673362751635
"102","Mccc1",-0.698214637883497,0.000418135501887767
"103","Col6a2",-0.698518704498347,0.000715725760116433
"104","Ckmt2",-0.590219171316401,0.0085288221320063
"105","Vgll2",-0.838363014218875,0.00095447121883673
"106","Armcx4",-1.10895049437308,4.29489502041757e-10
"107","Mdga1",-0.84602110598527,0.00143051455227923
"108","H1f4",0.65698742961564,0.00793371034364397
"109","Tob2",0.616871028729857,0.00776272501772393
"110","Myh10",-0.830077878982059,0.000113582092975546
"111","Col1a2",-0.58500230510698,0.000728044059542301
"112","Itgb4",-1.04447391008633,0.00123304186855874
"113","Tpbgl",0.609476528819898,0.00613354407461447
"114","Arrdc2",1.48163535123842,0.00247393220854627
"115","Rps11",0.609774660740882,0.000301780665601009
"116","Slc7a2",0.82879054024491,0.000578135801896037
"117","Prpf3",-0.667226137988316,0.000628694464850013
"118","Pde4a",-0.641329485255328,5.71485927175944e-05
"119","Efcab6",-0.798274842025224,0.00290786331732515
"120","Snord15b",-1.27755227343606,4.26245446233835e-05
"121","Mylk2",0.640125192057584,0.000255240430355331
"122","Tfcp2l1",0.77329491886908,1.94274382088572e-06
"123","Hnrnpm",-0.610724591216924,1.72001236274207e-06
"124","Shc2",0.64119549194363,0.00432414313921901
"125","Actn2",-0.650297526691972,0.00306812515067907
"126","Col15a1",-0.850079179587758,1.23632049281207e-05
"127","Pcdh12",-0.736684508948039,0.00748174562611068
"128","Cryab",-0.642203992718583,0.00306812515067907
"129","Gm4070",-0.816998856928892,0.00322037784226041
